dataset_family,sport,scope,source_provider,source_url,retrieved_at,source_sha256,source_rows,normalized_match_rows,normalized_odds_rows,license_or_terms,production_use
football_results_and_odds,football,Premier League 2023-24,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2324/E0.csv,2026-07-29T08:44:31Z,b2e057b0ed959f198b0f63d2391c01239f3608e6de5db68edab3f88e04d07ff3,380,380,9120,Site states data are free; keep attribution and complete commercial terms review.,conditional
football_results_and_odds,football,Bundesliga 2023-24,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2324/D1.csv,2026-07-29T08:44:31Z,1de8bc12a133dbbf71bc6ffda62082642f087f61b1b7c15ae9f2d320876fb07e,306,306,7344,Site states data are free; keep attribution and complete commercial terms review.,conditional
football_results_and_odds,football,Serie A 2023-24,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2324/I1.csv,2026-07-29T08:44:31Z,343a89db026fe4204ebeabd663cdfee8d02a45457828fc1cb63fa630ca170723,380,380,9120,Site states data are free; keep attribution and complete commercial terms review.,conditional
football_results_and_odds,football,La Liga 2023-24,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2324/SP1.csv,2026-07-29T08:44:31Z,5323f596c7ed318e4bce95557a369d809d98501fa499ea5f41350cd45cf3c7d9,380,380,9120,Site states data are free; keep attribution and complete commercial terms review.,conditional
football_results_and_odds,football,Ligue 1 2023-24,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2324/F1.csv,2026-07-29T08:44:31Z,ca0a4bf51d5b1ccfd0e1558ea41de6bb829df6c96c759888a87248d296d5adb7,306,306,7344,Site states data are free; keep attribution and complete commercial terms review.,conditional
football_results_and_odds,football,Premier League 2024-25,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,2026-07-29T08:44:31Z,d0c8ce4a96d886cf60cf101f570f4a3893844226f91c7bd769eb568c49edbfa4,380,380,9120,Site states data are free; keep attribution and complete commercial terms review.,conditional
football_results_and_odds,football,Bundesliga 2024-25,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2425/D1.csv,2026-07-29T08:44:31Z,a295c58033cfe6393cbbc28f7db85671839b960c5f1153fd3678e20ad2adb92e,306,306,7344,Site states data are free; keep attribution and complete commercial terms review.,conditional
football_results_and_odds,football,Serie A 2024-25,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2425/I1.csv,2026-07-29T08:44:31Z,79d87a5b18771e066ac7419b7876bfd9771a68ca117a9712375d6bc9685abee3,380,380,9120,Site states data are free; keep attribution and complete commercial terms review.,conditional
football_results_and_odds,football,La Liga 2024-25,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,2026-07-29T08:44:31Z,c086e96d6a53f6e6c0fce4e35db0d1728c773b4362323da0161a34769e315a36,380,380,9120,Site states data are free; keep attribution and complete commercial terms review.,conditional
football_results_and_odds,football,Ligue 1 2024-25,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2425/F1.csv,2026-07-29T08:44:31Z,fe6ae6a0c30d05f0ac88e0fc4a31452c7203e2b444703dfa941e22f38f20ab63,306,306,7344,Site states data are free; keep attribution and complete commercial terms review.,conditional
football_results_and_odds,football,Premier League 2025-26,football-data.co.uk,https://www.football-data.co.uk/mmz4281/2526/E0.csv,2026-07-29T08:44:31Z,3e3a8352f9ada6789c508d6ca184424421fed56a30400904a4a327c583407e62,380,380,8100,Site states data are free; keep attribution and complete commercial terms review.,conditional
